U.S. Metropolitan and Micropolitan Areas,Number of Patents
"San Jose, CA",14894
"New York, NY",8406
"San Francisco, CA",9920
"Los Angeles, CA",6571
"Boston, MA",5913
"Chicago, IL",4062
"San Diego, CA",5400
"Seattle, WA",4850
"Minneapolis, MN",3660
"Detroit, MI",3073
"Dallas, TX",3177
"Austin, TX",2796
"Philadelphia, PA",2654
"Houston, TX",2972
"Portland, OR",2129
"Washington, DC",2285
"Atlanta, GA",2368
"Phoenix, AZ",1683
"Rochester, NY",1537
"Boise City, ID",852
"Raleigh, NC",1555
"Miami, FL",1463
"Cincinnati, OH",1047
"Denver, CO",1238
"Cleveland, OH",979
"Pittsburgh, PA",891
"Albany, NY",1049
"Baltimore, MD",841
"St. Louis, MO",863
"Poughkeepsie, NY",885
"Bridgeport, CT",678
"Boulder, CO",913
"Milwaukee, WI",650
"Hartford, CT",871
"Indianapolis, IN",737
"Kansas City, MO",872
"Ann Arbor, MI",776
"Sacramento, CA",595
"Oxnard, CA",597
"Bremerton, WA",901
"Santa Cruz, CA",700
"Worcester, MA",638
"Tucson, AZ",699
"Providence, RI",549
"Durham, NC",637
"Tampa, FL",695
"Salt Lake City, UT",667
"Burlington, VT",464
"Columbus, OH",548
"New Haven, CT",513
"Riverside, CA",486
"Rochester, MN",503
"Fort Collins, CO",388
"Trenton, NJ",524
"Akron, OH",335
"Madison, WI",483
"Allentown, PA",394
"Palm Bay, FL",434
"Manchester, NH",410
"Orlando, FL",415
"Charlotte, NC",460
"San Antonio, TX",497
"Buffalo, NY",272
"Santa Barbara, CA",438
"Albuquerque, NM",289
"Greenville, SC",441
"Las Vegas, NV",429
"Colorado Springs, CO",254
"Provo, UT",406
"Dayton, OH",239
"Corvallis, OR",196
"Peoria, IL",310
"Memphis, TN",294
"Reno, NV",328
"Santa Rosa, CA",281
"Greeley, CO",266
"Richmond, VA",253
"Lexington, KY",217
"Des Moines, IA",223
"Nashville, TN",252
"Knoxville, TN",257
"Syracuse, NY",190
"Grand Rapids, MI",193
"Louisville/Jefferson County, KY",268
"Binghamton, NY",110
"Holland, MI",198
"Huntsville, AL",215
"Toledo, OH",178
"Virginia Beach, VA",171
"Oklahoma City, OK",142
"Appleton, WI",137
"Cedar Rapids, IA",225
"Jacksonville, FL",210
"Canton, OH",132
"Tulsa, OK",163
"Norwich, CT",121
"Fort Wayne, IN",123
"Greensboro, NC",142
"Ogden, UT",155
"Springfield, MA",138
"Harrisburg, PA",130
"North Port, FL",145
"Oshkosh, WI",114
"New Orleans, LA",146
"Portland, ME",164
"Gainesville, FL",160
"Lancaster, PA",122
"Omaha, NE",215
"Champaign, IL",187
"Wichita, KS",139
"Ithaca, NY",120
"Lafayette, IN",187
"Rockford, IL",133
"Flint, MI",116
"Winston, NC",138
"Kalamazoo, MI",104
"York, PA",118
"Birmingham, AL",109
"Baton Rouge, LA",92
"South Bend, IN",125
"Racine, WI",106
"Kingsport, TN",81
"Port St. Lucie, FL",122
"Lansing, MI",71
"Erie, PA",86
"Spokane, WA",105
"San Luis Obispo, CA",106
